Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Previous Week Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed,Weekly Confirmed
2020-12-11,El Salvador,40741,1186,0,39555,40741,1180,0,39561,40741,39718,6486201,0,6,0,-6,0,1023
2020-12-11,Equatorial Guinea,5183,85,0,5098,5183,85,0,5098,5183,5159,1358276,0,0,0,0,0,24
2020-12-11,Eritrea,656,0,0,656,656,0,0,656,649,632,3497117,0,0,0,0,7,24
2020-12-11,Estonia,16956,142,0,16814,16598,141,0,16457,16054,13939,1328360,358,1,0,357,544,3017
2020-12-11,Eswatini,6685,126,0,6559,6633,126,0,6507,6612,6480,1093238,52,0,0,52,21,205
2020-12-11,Ethiopia,115782,1791,0,113991,115360,1779,0,113581,114834,112091,98665000,422,12,0,410,526,3691
2020-12-11,Fiji,44,2,0,42,44,2,0,42,44,44,884887,0,0,0,0,0,0
2020-12-11,Finland,30073,453,0,29620,29572,442,0,29130,28732,26758,5527573,501,11,0,490,840,3315
2020-12-11,France,2405210,57671,0,2347539,2391643,57044,0,2334599,2377913,2321703,67069000,13567,627,0,12940,13730,83507
2020-12-11,Gabon,9330,63,0,9267,9300,62,0,9238,9300,9254,2172579,30,1,0,29,0,76
2020-12-11,Gambia,3779,123,0,3656,3777,123,0,3654,3776,3768,,2,0,0,2,1,11
2020-12-11,Georgia,183099,1694,0,181405,178953,1657,0,177296,174383,152704,3723464,4146,37,0,4109,4570,30395
2020-12-11,Germany,1314309,21567,0,1292742,1287092,21064,0,1266028,1254358,1157514,83149300,27217,503,0,26714,32734,156795
2020-12-11,Ghana,52738,326,0,52412,52738,326,0,52412,52622,52096,30280811,0,0,0,0,116,642
2020-12-11,Greece,122648,3472,0,119176,121253,3370,0,117883,119720,113185,10724599,1395,102,0,1293,1533,9463
2020-12-11,Grenada,43,0,0,43,43,0,0,43,43,41,,0,0,0,0,0,2
2020-12-11,Guatemala,128541,4376,0,124165,127786,4345,0,123441,127127,124805,16604026,755,31,0,724,659,3736
2020-12-11,Guinea,13398,79,0,13319,13368,79,0,13289,13325,13186,12218357,30,0,0,30,43,212
2020-12-11,Guinea-Bissau,2444,44,0,2400,2444,44,0,2400,2444,2441,,0,0,0,0,0,3
2020-12-11,Guyana,5839,154,0,5685,5811,154,0,5657,5732,5601,782766,28,0,0,28,79,238
2020-12-11,Haiti,9465,233,0,9232,9434,233,0,9201,9434,9347,11577779,31,0,0,31,0,118
2020-12-11,Holy See,27,0,0,27,27,0,0,27,27,27,,0,0,0,0,0,0
2020-12-11,Honduras,113708,2971,0,110737,113207,2968,0,110239,112792,109760,9158345,501,3,0,498,415,3948
2020-12-11,Hungary,271200,6622,0,264578,265003,6451,0,258552,259588,238056,9772756,6197,171,0,6026,5415,33144
